Date,Temp,PrevTemp
0,,20.7
1,20.7,17.9
2,17.9,18.8
3,18.8,14.6
4,14.6,15.8
5,15.8,15.8
6,15.8,15.8
7,15.8,17.4
8,17.4,21.8
9,21.8,20.0
10,20.0,16.2
11,16.2,13.3
12,13.3,16.7
13,16.7,21.5
14,21.5,25.0
15,25.0,20.7
16,20.7,20.6
17,20.6,24.8
18,24.8,17.7
19,17.7,15.5
20,15.5,18.2
21,18.2,12.1
22,12.1,14.4
23,14.4,16.0
24,16.0,16.5
25,16.5,18.7
26,18.7,19.4
27,19.4,17.2
28,17.2,15.5
29,15.5,15.1
30,15.1,15.4
31,15.4,15.3
32,15.3,18.8
33,18.8,21.9
34,21.9,19.9
35,19.9,16.6
36,16.6,16.8
37,16.8,14.6
38,14.6,17.1
39,17.1,25.0
40,25.0,15.0
41,15.0,13.7
42,13.7,13.9
43,13.9,18.3
44,18.3,22.0
45,22.0,22.1
46,22.1,21.2
47,21.2,18.4
48,18.4,16.6
49,16.6,16.1
50,16.1,15.7
51,15.7,16.6
52,16.6,16.5
53,16.5,14.4
54,14.4,14.4
55,14.4,18.5
56,18.5,16.9
57,16.9,17.5
58,17.5,21.2
59,21.2,17.8
60,17.8,18.6
61,18.6,17.0
62,17.0,16.0
63,16.0,13.3
64,13.3,14.3
65,14.3,11.4
66,11.4,16.3
67,16.3,16.1
68,16.1,11.8
69,11.8,12.2
70,12.2,14.7
71,14.7,11.8
72,11.8,11.3
73,11.3,10.6
74,10.6,11.7
75,11.7,14.2
76,14.2,11.2
77,11.2,16.9
78,16.9,16.7
79,16.7,8.1
80,8.1,8.0
81,8.0,8.8
82,8.8,13.4
83,13.4,10.9
84,10.9,13.4
85,13.4,11.0
86,11.0,15.0
87,15.0,15.7
88,15.7,14.5
89,14.5,15.8
90,15.8,16.7
91,16.7,16.8
92,16.8,17.5
93,17.5,17.1
94,17.1,18.1
95,18.1,16.6
96,16.6,10.0
97,10.0,14.9
98,14.9,15.9
99,15.9,13.0
100,13.0,7.6
