state,prod_year,rate_class,num_oil_wells,oil_prod_BBL,ADgas_prod_MCF,oil_wells_dayson,num_gas_wells,NAgas_prod_MCF,conden_prod_BBL,gas_wells_dayson
AK,2009,1,10,661,139,2642,17,4748,83,5256
AK,2009,2,6,2377,2901,1946,9,22796,256,2735
AK,2009,3,7,5050,5352,2309,7,42536,217,2433
AK,2009,4,4,5914,4658,1460,7,77444,549,2555
AK,2009,5,12,23883,30124,4197,6,66203,1907,1854
AK,2009,6,4,10993,13432,1460,10,123143,990,2523
AK,2009,7,8,22353,32194,2492,6,104077,2362,1884
AK,2009,8,9,28615,41300,2673,4,100653,1617,1399
AK,2009,9,15,79679,59780,5292,8,217944,4875,2494
AK,2009,10,23,150513,145721,7938,6,231887,1232,1764
AK,2009,11,11,71018,118304,3312,7,387995,5272,2524
AK,2009,12,26,269657,297228,9154,7,351161,8024,1945
AK,2009,13,30,403906,302451,10002,14,1055402,14546,4316
AK,2009,14,113,2367434,2717382,38553,49,6493692,183978,16721
AK,2009,15,309,13652724,16551860,108753,63,16162334,597010,21170
AK,2009,16,344,27873827,43382061,122577,107,50131325,2273409,36614
AK,2009,17,235,35585459,65971144,83197,137,132041827,5401963,47358
AK,2009,18,81,24784434,44552442,28170,155,308334482,11414201,52850
AK,2009,19,37,21812506,30714473,12688,222,885069315,25834588,75245
AK,2009,20,8,9068311,11058201,2554,184,1387772934,39811776,62917
AK,2009,21,2,4795219,5598401,730,20,275268502,7988605,6752
AK,2009,22,0,0,0,0,1,26729894,934273,365
AK,2008,1,8,756,875,2133,18,10931,172,5949
AK,2008,2,3,870,2025,763,8,15109,487,2133
AK,2008,3,8,4422,10102,2255,11,52764,1575,3720
AK,2008,4,9,11978,14342,2959,4,47281,0,1464
AK,2008,5,10,19752,34015,3629,6,65550,4076,2134
AK,2008,6,5,12339,15883,1646,3,61154,0,1098
AK,2008,7,6,19985,22684,2135,6,95250,976,1585
AK,2008,8,14,52583,59601,4728,5,135705,1628,1769
AK,2008,9,19,92071,111478,6129,9,289117,2415,2804
AK,2008,10,17,103100,109381,5306,11,400560,10262,3324
AK,2008,11,11,91393,110933,4026,6,340857,2309,2105
AK,2008,12,21,218322,248169,7349,14,948660,14284,4910
AK,2008,13,25,338718,330704,8752,9,494383,30226,2561
AK,2008,14,142,3230248,3081942,50996,45,5909603,145231,15644
AK,2008,15,296,13476149,15411600,106594,60,14724924,602574,20523
AK,2008,16,321,26207622,41441598,115896,94,43191014,1806976,31533
AK,2008,17,233,35483484,60627971,83576,134,127038511,5269898,45657
AK,2008,18,98,27448337,60406855,34043,152,312429669,10146032,53373
AK,2008,19,49,28209785,48349395,16899,203,805993966,27561281,69423
AK,2008,20,9,9473180,10524472,2534,172,1326671927,37473878,60091
AK,2008,21,2,6205981,4633246,732,35,506504736,14919594,12597
AK,2008,22,0,0,0,0,1,24909465,1178793,366
AK,2007,1,16,1280,1819,5258,22,11074,256,6295
AK,2007,2,2,734,1791,730,4,9325,118,1307
AK,2007,3,9,5562,9223,2704,15,79718,2090,4895
AK,2007,4,14,20179,23403,4837,8,44859,1844,1793
AK,2007,5,1,1728,5016,365,6,81407,250,1884
AK,2007,6,6,15475,22276,2190,1,18559,77,365
AK,2007,7,3,9377,13701,1095,7,118532,5297,2310
AK,2007,8,9,38861,23687,3101,3,70008,0,881
AK,2007,9,10,46334,33938,3071,17,508810,9326,5353
AK,2007,10,16,109908,115044,5840,15,583326,5435,4587
AK,2007,11,13,99814,111721,4347,2,74156,1202,518
AK,2007,12,20,205814,199623,6966,6,384106,4753,2037
AK,2007,13,29,381248,371148,10097,6,523858,6514,2190
AK,2007,14,135,3094083,2792706,48173,45,5561576,179412,15511
AK,2007,15,254,11371063,13573815,90394,54,12757282,426900,18130
AK,2007,16,363,29690752,44793173,130279,79,38702386,1569611,27555
AK,2007,17,229,33742221,65774505,79815,112,110015491,4930191,39811
AK,2007,18,101,26011438,52839368,32465,157,327031249,10597887,55076
AK,2007,19,52,31066221,48280479,16739,191,779997426,25205168,66547
AK,2007,20,19,19207069,33267066,6150,164,1277237347,37405657,57377
AK,2007,21,4,9482837,19266257,1460,41,599148552,15646164,14541
AK,2007,22,0,0,0,0,2,44544589,2995009,730
AK,2006,1,17,1795,2427,5685,14,4528,44,3678
AK,2006,2,1,479,209,365,6,15216,456,1976
AK,2006,3,4,1550,7472,792,10,64763,852,3650
AK,2006,4,8,12503,11803,2828,5,40785,268,1336
AK,2006,5,4,6474,6985,1093,7,81897,1241,1976
AK,2006,6,6,17147,13569,2190,3,47377,114,883
AK,2006,7,2,6245,8752,730,5,79041,3078,1458
AK,2006,8,5,20480,30411,1825,4,85993,330,1124
AK,2006,9,12,69634,48472,4380,13,349738,4382,3558
AK,2006,10,13,77025,132603,4352,12,335947,9065,2951
AK,2006,11,8,63845,98738,2920,3,101526,2636,697
AK,2006,12,22,236290,160114,7449,12,605200,22198,3584
AK,2006,13,29,359156,489352,10008,6,402527,29899,2190
AK,2006,14,143,3422339,2725625,51188,39,4893219,107925,13142
AK,2006,15,282,12371406,16132832,100408,54,12828601,389486,18124
AK,2006,16,387,31726212,47893227,138877,83,41450602,1377482,28283
AK,2006,17,212,32811094,54067503,76344,134,127081572,5714709,46747
AK,2006,18,93,25974916,49712720,32250,162,333246177,11669903,57633
AK,2006,19,54,30919178,42874952,16771,219,908765343,29746162,76982
AK,2006,20,24,26084633,35966904,7820,145,1159273582,34846997,51230
AK,2006,21,4,7857759,19941906,1370,22,302909372,10100282,7757
AK,2006,22,0,0,0,0,2,42750623,4412928,730
AK,2005,1,15,943,1760,4774,22,13387,414,6961
AK,2005,2,5,1464,1764,1338,9,25054,577,3162
AK,2005,3,6,4091,8508,1703,11,53871,1146,3280
AK,2005,4,8,10663,15206,2586,6,46359,1289,1945
AK,2005,5,8,13132,22288,2492,4,47864,760,1338
AK,2005,6,2,6391,3870,730,4,69186,1904,1460
AK,2005,7,4,11247,22202,1368,2,31947,1908,669
AK,2005,8,7,26028,25650,2281,2,35977,2303,669
AK,2005,9,5,26070,33056,1825,4,115366,3551,1399
AK,2005,10,7,49396,44207,2555,10,371294,6509,2982
AK,2005,11,11,84837,94560,3740,3,162994,3471,1095
AK,2005,12,16,166886,172060,5748,12,764296,25969,4227
AK,2005,13,24,337939,263816,8271,5,429278,7874,1733
AK,2005,14,117,2776238,2399090,42034,33,4156468,100460,10976
AK,2005,15,259,11741044,13385217,93438,42,10783321,331669,13504
AK,2005,16,394,32054739,49795250,140677,92,46644863,2017568,31968
AK,2005,17,268,41649536,71808024,96151,110,110130145,4767161,38778
AK,2005,18,117,33072123,63187572,40886,147,309187347,10211010,51523
AK,2005,19,53,29175867,41034750,16402,234,993785111,34242156,84229
AK,2005,20,32,39491637,68755121,11133,165,1223488634,41783096,56643
AK,2005,21,1,1330639,2602725,275,36,507978264,18397858,12899
AK,2005,22,1,3264912,16312290,365,5,104755136,8182694,1825
AK,2004,1,11,1058,790,4026,15,5516,56,3991
AK,2004,2,4,1708,3073,1403,2,5855,137,732
AK,2004,3,7,6135,5542,2502,4,13571,357,1127
AK,2004,4,7,8781,16497,2256,3,30908,893,1098
AK,2004,5,4,6614,6536,1035,2,22072,459,610
AK,2004,6,9,21850,31774,2898,2,17774,1822,518
AK,2004,7,6,19296,29956,2196,3,34599,1242,670
AK,2004,8,11,40403,26520,3292,4,86398,4463,1464
AK,2004,9,5,24781,38879,1830,3,115427,0,1098
AK,2004,10,10,70190,75388,3660,6,274466,1429,2196
AK,2004,11,7,64780,30298,2562,6,264474,12073,2074
AK,2004,12,12,107128,67346,3507,11,538792,31052,3415
